reservoir,storage,capacity,pct_capacity,date
Abiquiu,177300,1192800,14.9,01/2000,NM
Abiquiu,178200,1192800,14.9,02/2000,NM
Abiquiu,179100,1192800,15,03/2000,NM
Abiquiu,179100,1192800,15,04/2000,NM
Abiquiu,180700,1192800,15.1,05/2000,NM
Abiquiu,160600,1192800,13.5,06/2000,NM
Abiquiu,138200,1192800,11.6,07/2000,NM
Abiquiu,115800,1192800,9.7,08/2000,NM
Abiquiu,89700,1192800,7.5,09/2000,NM
Abiquiu,75300,1192800,6.3,10/2000,NM
Abiquiu,81600,1192800,6.8,11/2000,NM
Abiquiu,87900,1192800,7.4,12/2000,NM
Abiquiu,91300,1192800,7.7,01/2001,NM
Abiquiu,95500,1192800,8,02/2001,NM
Abiquiu,100000,1192800,8.4,03/2001,NM
Abiquiu,105200,1192800,8.8,04/2001,NM
Abiquiu,108600,1192800,9.1,05/2001,NM
Abiquiu,145000,1192800,12.2,06/2001,NM
Abiquiu,151300,1192800,12.7,07/2001,NM
Abiquiu,132600,1192800,11.1,08/2001,NM
Abiquiu,122000,1192800,10.2,09/2001,NM
Abiquiu,115100,1192800,9.6,10/2001,NM
Abiquiu,109900,1192800,9.2,11/2001,NM
Abiquiu,120500,1192800,10.1,12/2001,NM
Abiquiu,131200,1192800,11,01/2002,NM
Abiquiu,141600,1192800,11.9,02/2002,NM
Abiquiu,151300,1192800,12.7,03/2002,NM
Abiquiu,154600,1192800,13,04/2002,NM
Abiquiu,131000,1192800,11,05/2002,NM
Abiquiu,110300,1192800,9.2,06/2002,NM
Abiquiu,98300,1192800,8.2,07/2002,NM
Abiquiu,89700,1192800,7.5,08/2002,NM
Abiquiu,60500,1192800,5.1,09/2002,NM
Abiquiu,47200,1192800,4,10/2002,NM
Abiquiu,41700,1192800,3.5,11/2002,NM
Abiquiu,43100,1192800,3.6,12/2002,NM
Abiquiu,43700,1192800,3.7,01/2003,NM
Abiquiu,43900,1192800,3.7,02/2003,NM
Abiquiu,43300,1192800,3.6,03/2003,NM
Abiquiu,43100,1192800,3.6,04/2003,NM
Abiquiu,46200,1192800,3.9,05/2003,NM
Abiquiu,47000,1192800,3.9,06/2003,NM
Abiquiu,43300,1192800,3.6,07/2003,NM
Abiquiu,58400,1192800,4.9,08/2003,NM
Abiquiu,66600,1192800,5.6,09/2003,NM
Abiquiu,65000,1192800,5.4,10/2003,NM
Abiquiu,66600,1192800,5.6,11/2003,NM
Abiquiu,68600,1192800,5.8,12/2003,NM
Abiquiu,72900,1192800,6.1,01/2004,NM
Abiquiu,85000,1192800,7.1,02/2004,NM
Abiquiu,95900,1192800,8,03/2004,NM
Abiquiu,107300,1192800,9,04/2004,NM
Abiquiu,126700,1192800,10.6,05/2004,NM
Abiquiu,135000,1192800,11.3,06/2004,NM
Abiquiu,128900,1192800,10.8,07/2004,NM
Abiquiu,130700,1192800,11,08/2004,NM
Abiquiu,126600,1192800,10.6,09/2004,NM
Abiquiu,114800,1192800,9.6,10/2004,NM
Abiquiu,114200,1192800,9.6,11/2004,NM
Abiquiu,113900,1192800,9.5,12/2004,NM
Abiquiu,112200,1192800,9.4,01/2005,NM
Abiquiu,111800,1192800,9.4,02/2005,NM
Abiquiu,112500,1192800,9.4,03/2005,NM
Abiquiu,112100,1192800,9.4,04/2005,NM
Abiquiu,142400,1192800,11.9,05/2005,NM
Abiquiu,175900,1192800,14.7,06/2005,NM
Abiquiu,116400,1192800,9.8,07/2005,NM
Abiquiu,115300,1192800,9.7,08/2005,NM
Abiquiu,113800,1192800,9.5,09/2005,NM
Abiquiu,112300,1192800,9.4,10/2005,NM
Abiquiu,111500,1192800,9.3,11/2005,NM
Abiquiu,122900,1192800,10.3,12/2005,NM
Abiquiu,134100,1192800,11.2,01/2006,NM
Abiquiu,145200,1192800,12.2,02/2006,NM
Abiquiu,159100,1192800,13.3,03/2006,NM
Abiquiu,169800,1192800,14.2,04/2006,NM
Abiquiu,171300,1192800,14.4,05/2006,NM
Abiquiu,162800,1192800,13.6,06/2006,NM
Abiquiu,153100,1192800,12.8,07/2006,NM
Abiquiu,154900,1192800,13,08/2006,NM
Abiquiu,157700,1192800,13.2,09/2006,NM
Abiquiu,155200,1192800,13,10/2006,NM
Abiquiu,154200,1192800,12.9,11/2006,NM
Abiquiu,153800,1192800,12.9,12/2006,NM
Abiquiu,157400,1192800,13.2,01/2007,NM
Abiquiu,167000,1192800,14,02/2007,NM
Abiquiu,174100,1192800,14.6,03/2007,NM
Abiquiu,178500,1192800,15,04/2007,NM
Abiquiu,181000,1192800,15.2,05/2007,NM
Abiquiu,182100,1192800,15.3,06/2007,NM
Abiquiu,176400,1192800,14.8,07/2007,NM
Abiquiu,173800,1192800,14.6,08/2007,NM
Abiquiu,174900,1192800,14.7,09/2007,NM
Abiquiu,182300,1192800,15.3,10/2007,NM
Abiquiu,181500,1192800,15.2,11/2007,NM
Abiquiu,181800,1192800,15.2,12/2007,NM
Abiquiu,182700,1192800,15.3,01/2008,NM
Abiquiu,183000,1192800,15.3,02/2008,NM
Abiquiu,185100,1192800,15.5,03/2008,NM
Abiquiu,185400,1192800,15.5,04/2008,NM
Abiquiu,180500,1192800,15.1,05/2008,NM
Abiquiu,190600,1192800,16,06/2008,NM
Abiquiu,176100,1192800,14.8,07/2008,NM
Abiquiu,180000,1192800,15.1,08/2008,NM
Abiquiu,177100,1192800,14.8,09/2008,NM
Abiquiu,175900,1192800,14.7,10/2008,NM
Abiquiu,177800,1192800,14.9,11/2008,NM
Abiquiu,176900,1192800,14.8,12/2008,NM
Abiquiu,184500,1192800,15.5,01/2009,NM
Abiquiu,184000,1192800,15.4,02/2009,NM
Abiquiu,181800,1192800,15.2,03/2009,NM
Abiquiu,181000,1192800,15.2,04/2009,NM
Abiquiu,179500,1192800,15,05/2009,NM
Abiquiu,212100,1192800,17.8,06/2009,NM
Abiquiu,178600,1192800,15,07/2009,NM
Abiquiu,177800,1192800,14.9,08/2009,NM
Abiquiu,180700,1192800,15.1,09/2009,NM
Abiquiu,181600,1192800,15.2,10/2009,NM
Abiquiu,182500,1192800,15.3,11/2009,NM
Abiquiu,181900,1192800,15.2,12/2009,NM
Abiquiu,183600,1192800,15.4,01/2010,NM
Abiquiu,183400,1192800,15.4,02/2010,NM
Abiquiu,182300,1192800,15.3,03/2010,NM
Abiquiu,179900,1192800,15.1,04/2010,NM
Abiquiu,196400,1192800,16.5,05/2010,NM
Abiquiu,169900,1192800,14.2,06/2010,NM
