reservoir,storage,capacity,pct_capacity,date
Agate,2644,4800,55.1,01/2000,or
Agate,3206,4800,66.8,02/2000,or
Agate,4270,4800,89,03/2000,or
Agate,4626,4800,96.4,04/2000,or
Agate,4582,4800,95.5,05/2000,or
Agate,4087,4800,85.1,06/2000,or
Agate,3209,4800,66.9,07/2000,or
Agate,2128,4800,44.3,08/2000,or
Agate,1166,4800,24.3,09/2000,or
Agate,379,4800,7.9,10/2000,or
Agate,380,4800,7.9,11/2000,or
Agate,567,4800,11.8,12/2000,or
Agate,1587,4800,33.1,01/2001,or
Agate,3079,4800,64.1,02/2001,or
Agate,4529,4800,94.4,03/2001,or
Agate,4705,4800,98,04/2001,or
Agate,4360,4800,90.8,05/2001,or
Agate,3228,4800,67.3,06/2001,or
Agate,2262,4800,47.1,07/2001,or
Agate,1218,4800,25.4,08/2001,or
Agate,728,4800,15.2,09/2001,or
Agate,519,4800,10.8,10/2001,or
Agate,353,4800,7.4,11/2001,or
Agate,1338,4800,27.9,12/2001,or
Agate,3038,4800,63.3,01/2002,or
Agate,4161,4800,86.7,02/2002,or
Agate,4722,4800,98.4,03/2002,or
Agate,4722,4800,98.4,04/2002,or
Agate,4633,4800,96.5,05/2002,or
Agate,4009,4800,83.5,06/2002,or
Agate,2988,4800,62.3,07/2002,or
Agate,1834,4800,38.2,08/2002,or
Agate,880,4800,18.3,09/2002,or
Agate,558,4800,11.6,10/2002,or
Agate,573,4800,11.9,11/2002,or
Agate,1184,4800,24.7,12/2002,or
Agate,3225,4800,67.2,01/2003,or
Agate,4626,4800,96.4,02/2003,or
Agate,4682,4800,97.5,03/2003,or
Agate,4700,4800,97.9,04/2003,or
Agate,4703,4800,98,05/2003,or
Agate,4139,4800,86.2,06/2003,or
Agate,2787,4800,58.1,07/2003,or
Agate,1456,4800,30.3,08/2003,or
Agate,509,4800,10.6,09/2003,or
Agate,291,4800,6.1,10/2003,or
Agate,317,4800,6.6,11/2003,or
Agate,861,4800,17.9,12/2003,or
Agate,2607,4800,54.3,01/2004,or
Agate,4202,4800,87.5,02/2004,or
Agate,4668,4800,97.3,03/2004,or
Agate,4658,4800,97,04/2004,or
